Record Length,Analog:700
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+0.000000E+00,-1.490116E-08,+3.220000E+00
+1.000000E-09,-1.490116E-08,+3.220000E+00
+2.000000E-09,-1.490116E-08,+3.220000E+00
+3.000000E-09,-1.490116E-08,+3.220000E+00
+4.000000E-09,-1.490116E-08,+3.220000E+00
+5.000000E-09,-1.490116E-08,+3.220000E+00
+6.000000E-09,-1.490116E-08,+3.220000E+00
+7.000000E-09,-1.490116E-08,+3.220000E+00
+8.000000E-09,-1.490116E-08,+3.220000E+00
+9.000000E-09,-1.490116E-08,+3.220000E+00
+1.000000E-08,-1.490116E-08,+3.220000E+00
+1.100000E-08,+8.000000E-02,+3.220000E+00
+1.200000E-08,+1.600000E-01,+3.220000E+00
+1.300000E-08,+2.400000E-01,+3.260000E+00
+1.400000E-08,+3.200000E-01,+3.300000E+00
+1.500000E-08,+4.000000E-01,+3.340000E+00
+1.600000E-08,+4.000000E-01,+3.340000E+00
+1.700000E-08,+4.000000E-01,+3.300000E+00
+1.800000E-08,+4.000000E-01,+3.300000E+00
+1.900000E-08,+3.600000E-01,+3.260000E+00
+2.000000E-08,+4.000000E-01,+3.220000E+00
+2.100000E-08,+4.400000E-01,+3.220000E+00
+2.200000E-08,+4.800000E-01,+3.220000E+00
+2.300000E-08,+5.600000E-01,+3.260000E+00
+2.400000E-08,+6.800000E-01,+3.220000E+00
+2.500000E-08,+7.600000E-01,+3.220000E+00
+2.600000E-08,+8.400000E-01,+3.260000E+00
+2.700000E-08,+9.200000E-01,+3.260000E+00
+2.800000E-08,+9.600000E-01,+3.260000E+00
+2.900000E-08,+1.040000E+00,+3.340000E+00
+3.000000E-08,+1.080000E+00,+3.300000E+00
+3.100000E-08,+1.160000E+00,+3.260000E+00
+3.200000E-08,+1.200000E+00,+3.260000E+00
+3.300000E-08,+1.280000E+00,+3.260000E+00
+3.400000E-08,+1.360000E+00,+3.260000E+00
