Record Length,Analog:7000
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.5000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+0.000000E+00,+3.160000E+00,+2.540000E+00
+1.000000E-09,+3.200000E+00,+2.460000E+00
+2.000000E-09,+3.200000E+00,+2.380000E+00
+3.000000E-09,+3.160000E+00,+2.340000E+00
+4.000000E-09,+3.200000E+00,+2.260000E+00
+5.000000E-09,+3.200000E+00,+2.180000E+00
+6.000000E-09,+3.240000E+00,+2.100000E+00
+7.000000E-09,+3.240000E+00,+2.060000E+00
+8.000000E-09,+3.240000E+00,+2.020000E+00
+9.000000E-09,+3.280000E+00,+1.980000E+00
+1.000000E-08,+3.280000E+00,+1.940000E+00
+1.100000E-08,+3.280000E+00,+1.900000E+00
+1.200000E-08,+3.280000E+00,+1.860000E+00
+1.300000E-08,+3.280000E+00,+1.820000E+00
+1.400000E-08,+3.280000E+00,+1.780000E+00
+1.500000E-08,+3.240000E+00,+1.740000E+00
+1.600000E-08,+3.280000E+00,+1.700000E+00
+1.700000E-08,+3.280000E+00,+1.660000E+00
+1.800000E-08,+3.200000E+00,+1.620000E+00
+1.900000E-08,+3.200000E+00,+1.580000E+00
+2.000000E-08,+3.240000E+00,+1.540000E+00
+2.100000E-08,+3.240000E+00,+1.500000E+00
+2.200000E-08,+3.200000E+00,+1.460000E+00
+2.300000E-08,+3.240000E+00,+1.500000E+00
+2.400000E-08,+3.160000E+00,+1.420000E+00
+2.500000E-08,+3.200000E+00,+1.380000E+00
+2.600000E-08,+3.200000E+00,+1.340000E+00
+2.700000E-08,+3.160000E+00,+1.300000E+00
+2.800000E-08,+3.200000E+00,+1.260000E+00
+2.900000E-08,+3.160000E+00,+1.260000E+00
